[2024-07-24 16:04:13] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%
[2024-07-24 16:04:42] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:44] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:44] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:04:45] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:45] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:04:47] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:04:47] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:48] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:04:49] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:50] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:52] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:54] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:55] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:56] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:58] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:04:59] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:05:00] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:05:01] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:05:01] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3110, Current candle evolution: -0.16%

[2024-07-24 16:05:02] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:05:02] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:05:04] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:05:05] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:05:07] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:05:08] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:05:09] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5418, Current candle evolution: -0.17%

[2024-07-24 16:05:10] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:05:11] UTK/USDT (BINANCE:UTKUSDT) Timeframe: 1m, Current price: 0.0490, Current candle evolution: 0.18%

[2024-07-24 16:05:13] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3110, Current candle evolution: -0.16%

[2024-07-24 16:05:13] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5418, Current candle evolution: -0.17%

[2024-07-24 16:05:14] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3110, Current candle evolution: -0.16%

[2024-07-24 16:05:15] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5418, Current candle evolution: -0.17%

[2024-07-24 16:05:16] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3110, Current candle evolution: -0.16%

[2024-07-24 16:05:16] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5418, Current candle evolution: -0.17%

[2024-07-24 16:05:17] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3110, Current candle evolution: -0.16%

[2024-07-24 16:05:18] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5418, Current candle evolution: -0.17%

[2024-07-24 16:05:19] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3110, Current candle evolution: -0.16%

[2024-07-24 16:05:19] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5417, Current candle evolution: -0.18%

[2024-07-24 16:05:20] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3110, Current candle evolution: -0.16%

[2024-07-24 16:05:21] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5417, Current candle evolution: -0.18%

[2024-07-24 16:05:22] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3110, Current candle evolution: -0.16%

[2024-07-24 16:05:22] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5417, Current candle evolution: -0.18%

[2024-07-24 16:05:23] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3108, Current candle evolution: -0.22%

[2024-07-24 16:05:24] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:05:24] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5415, Current candle evolution: -0.22%

[2024-07-24 16:05:24] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4917, Current candle evolution: -0.16%

[2024-07-24 16:05:24] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9870, Current candle evolution: -0.15%

[2024-07-24 16:05:25] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3107, Current candle evolution: -0.26%

[2024-07-24 16:05:25] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:05:25] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3697, Current candle evolution: -0.19%

[2024-07-24 16:05:25] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4917, Current candle evolution: -0.16%

[2024-07-24 16:05:25] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5415, Current candle evolution: -0.22%

[2024-07-24 16:05:26] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9870, Current candle evolution: -0.15%

[2024-07-24 16:05:26] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3108, Current candle evolution: -0.22%

[2024-07-24 16:05:26] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4917, Current candle evolution: -0.16%

[2024-07-24 16:05:26] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:05:26] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5416, Current candle evolution: -0.20%

[2024-07-24 16:05:27] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9870, Current candle evolution: -0.15%

[2024-07-24 16:05:27] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3106, Current candle evolution: -0.29%

[2024-07-24 16:05:28] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5416, Current candle evolution: -0.20%

[2024-07-24 16:05:28] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:05:28] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4917, Current candle evolution: -0.16%

[2024-07-24 16:05:28] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9870, Current candle evolution: -0.15%

[2024-07-24 16:05:28] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.16%

[2024-07-24 16:05:29] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3108, Current candle evolution: -0.22%

[2024-07-24 16:05:29] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4917, Current candle evolution: -0.16%

[2024-07-24 16:05:29] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:05:29] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5416, Current candle evolution: -0.20%

[2024-07-24 16:05:30] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9870, Current candle evolution: -0.15%

[2024-07-24 16:05:30] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.16%

[2024-07-24 16:05:30] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3107, Current candle evolution: -0.26%

[2024-07-24 16:05:31] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:05:31] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4917, Current candle evolution: -0.16%

[2024-07-24 16:05:31] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5416, Current candle evolution: -0.20%

[2024-07-24 16:05:31] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.16%

[2024-07-24 16:05:31] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9870, Current candle evolution: -0.15%

[2024-07-24 16:05:32] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3107, Current candle evolution: -0.26%

[2024-07-24 16:05:32] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4917, Current candle evolution: -0.16%

[2024-07-24 16:05:32] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:05:32] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5416, Current candle evolution: -0.20%

[2024-07-24 16:05:33] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.16%

[2024-07-24 16:05:33] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9870, Current candle evolution: -0.15%

[2024-07-24 16:05:33] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3107, Current candle evolution: -0.26%

[2024-07-24 16:05:34] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5415, Current candle evolution: -0.22%

[2024-07-24 16:05:34] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4916, Current candle evolution: -0.18%

[2024-07-24 16:05:34] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1275, Current candle evolution: -0.16%

[2024-07-24 16:05:34] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.16%

[2024-07-24 16:05:34] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9860, Current candle evolution: -0.20%

[2024-07-24 16:05:35] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3106, Current candle evolution: -0.29%

[2024-07-24 16:05:35] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4914, Current candle evolution: -0.22%

[2024-07-24 16:05:35] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3250, Current candle evolution: -0.17%

[2024-07-24 16:05:35] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1274, Current candle evolution: -0.23%

[2024-07-24 16:05:35] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5412, Current candle evolution: -0.28%

[2024-07-24 16:05:36] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9860, Current candle evolution: -0.20%

[2024-07-24 16:05:36] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.16%

[2024-07-24 16:05:36] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3106, Current candle evolution: -0.29%

[2024-07-24 16:05:37] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1274, Current candle evolution: -0.23%

[2024-07-24 16:05:37] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5412, Current candle evolution: -0.28%

[2024-07-24 16:05:37] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4913, Current candle evolution: -0.24%

[2024-07-24 16:05:37] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3698, Current candle evolution: -0.16%

[2024-07-24 16:05:37] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3240, Current candle evolution: -0.21%

[2024-07-24 16:05:37] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9860, Current candle evolution: -0.20%

[2024-07-24 16:05:37] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.16%

[2024-07-24 16:05:38] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3104, Current candle evolution: -0.35%

[2024-07-24 16:05:38] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3240, Current candle evolution: -0.21%

[2024-07-24 16:05:38] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3698, Current candle evolution: -0.16%

[2024-07-24 16:05:38] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:38] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4912, Current candle evolution: -0.26%

[2024-07-24 16:05:38] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5410, Current candle evolution: -0.31%

[2024-07-24 16:05:39] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.16%

[2024-07-24 16:05:39] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9860, Current candle evolution: -0.20%

[2024-07-24 16:05:39] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3103, Current candle evolution: -0.39%

[2024-07-24 16:05:40] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:40] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3698, Current candle evolution: -0.16%

[2024-07-24 16:05:40] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4911, Current candle evolution: -0.28%

[2024-07-24 16:05:40] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5410, Current candle evolution: -0.31%

[2024-07-24 16:05:40] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3240, Current candle evolution: -0.21%

[2024-07-24 16:05:40] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.20%

[2024-07-24 16:05:40] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9850, Current candle evolution: -0.25%

[2024-07-24 16:05:40] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66166.6600, Current candle evolution: -0.16%

[2024-07-24 16:05:41] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3103, Current candle evolution: -0.39%

[2024-07-24 16:05:41] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4910, Current candle evolution: -0.30%

[2024-07-24 16:05:41] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:41] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3695, Current candle evolution: -0.24%

[2024-07-24 16:05:41] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3240, Current candle evolution: -0.21%

[2024-07-24 16:05:41] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5409, Current candle evolution: -0.33%

[2024-07-24 16:05:42] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.20%

[2024-07-24 16:05:42] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9850, Current candle evolution: -0.25%

[2024-07-24 16:05:42] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66153.7100, Current candle evolution: -0.18%

[2024-07-24 16:05:42] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3099, Current candle evolution: -0.51%

[2024-07-24 16:05:42] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4910, Current candle evolution: -0.30%

[2024-07-24 16:05:42] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3240, Current candle evolution: -0.21%

[2024-07-24 16:05:42] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:43] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3693, Current candle evolution: -0.30%

[2024-07-24 16:05:43] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9850, Current candle evolution: -0.25%

[2024-07-24 16:05:43] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5409, Current candle evolution: -0.33%

[2024-07-24 16:05:43] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.20%

[2024-07-24 16:05:43] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66153.7100, Current candle evolution: -0.18%

[2024-07-24 16:05:44] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3100, Current candle evolution: -0.48%

[2024-07-24 16:05:44] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4910, Current candle evolution: -0.30%

[2024-07-24 16:05:44] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3230, Current candle evolution: -0.26%

[2024-07-24 16:05:44] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:44] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9850, Current candle evolution: -0.25%

[2024-07-24 16:05:44] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3693, Current candle evolution: -0.30%

[2024-07-24 16:05:45] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5408, Current candle evolution: -0.35%

[2024-07-24 16:05:45] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.23%

[2024-07-24 16:05:45] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66146.9500, Current candle evolution: -0.19%

[2024-07-24 16:05:45] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3099, Current candle evolution: -0.51%

[2024-07-24 16:05:45] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4909, Current candle evolution: -0.32%

[2024-07-24 16:05:46] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:46] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3693, Current candle evolution: -0.30%

[2024-07-24 16:05:46] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9840, Current candle evolution: -0.30%

[2024-07-24 16:05:46] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3220, Current candle evolution: -0.30%

[2024-07-24 16:05:46] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5407, Current candle evolution: -0.37%

[2024-07-24 16:05:46] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66146.9500, Current candle evolution: -0.19%

[2024-07-24 16:05:46] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.23%

[2024-07-24 16:05:47] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4909, Current candle evolution: -0.32%

[2024-07-24 16:05:47] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3099, Current candle evolution: -0.51%

[2024-07-24 16:05:47] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:47] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9840, Current candle evolution: -0.30%

[2024-07-24 16:05:47] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3693, Current candle evolution: -0.30%

[2024-07-24 16:05:48] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5406, Current candle evolution: -0.39%

[2024-07-24 16:05:48] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3230, Current candle evolution: -0.26%

[2024-07-24 16:05:48] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.23%

[2024-07-24 16:05:48] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66143.2600, Current candle evolution: -0.19%

[2024-07-24 16:05:48] MAGIC/USDT (BINANCE:MAGICUSDT) Timeframe: 1m, Current price: 0.4910, Current candle evolution: -0.30%

[2024-07-24 16:05:48] W/USDT (BINANCE:WUSDT) Timeframe: 1m, Current price: 0.3100, Current candle evolution: -0.48%

[2024-07-24 16:05:49] VANRY/USDT (BINANCE:VANRYUSDT) Timeframe: 1m, Current price: 0.1273, Current candle evolution: -0.31%

[2024-07-24 16:05:49] DIA/USDT (BINANCE:DIAUSDT) Timeframe: 1m, Current price: 0.3693, Current candle evolution: -0.30%

[2024-07-24 16:05:49] CAKE/USDT (BINANCE:CAKEUSDT) Timeframe: 1m, Current price: 1.9840, Current candle evolution: -0.30%

[2024-07-24 16:05:49] RAY/USDT (BINANCE:RAYUSDT) Timeframe: 1m, Current price: 2.3230, Current candle evolution: -0.26%

[2024-07-24 16:05:49] SLP/USDT (BINANCE:SLPUSDT) Timeframe: 1m, Current price: 0.0031, Current candle evolution: -0.23%

[2024-07-24 16:05:49] KNC/USDT (BINANCE:KNCUSDT) Timeframe: 1m, Current price: 0.5406, Current candle evolution: -0.39%

[2024-07-24 16:05:49] BTC/USDT (BINANCE:BTCUSDT) Timeframe: 1m, Current price: 66122.0000, Current candle evolution: -0.22%

